,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
118,DUNKIN DONUTS,6,2,4,1,5
119,DUNKIN DONUTS & BASKIN ROBBINS,3,1,2,1,2
120,EATALY,1,1,0,0,1
121,EL CUBANITO,1,0,1,1,0
122,EL FARO RESTAURANT,1,0,1,1,0
123,EL GORDO BURGER,3,1,2,2,1
124,EL HEFE,1,1,0,1,0
125,EL KAPORAL RESTAURANT,1,1,0,0,1
126,EL MUCHACHO ALEGRE,2,1,1,1,1
127,EL NUEVO GUADALAJARA INC,2,1,1,1,1
128,EL NUEVO TACONAZO,1,0,1,1,0
129,EL PLAN DE LOBOS,2,1,1,1,1
130,EL REY DEL BARRIO,1,0,1,0,1
131,EL TACO SABROSO #1 INC,1,1,0,0,1
132,EXPRESS GRILL INC,2,0,2,1,1
133,EZ SHAWARMA LLC,2,1,1,1,1
134,FAIRGROUNDS,1,1,0,0,1
135,FALAFEL GRILL,1,0,1,0,1
136,FALAFEL KEBAB,1,0,1,1,0
137,FARE,1,0,1,1,0
138,FAT JOHNNIES RED HOTS,1,1,0,0,1
139,"FFT AT SABW, LLC",1,0,1,0,1
140,FIVE IRON GOLF CHICAGO,1,0,1,0,1
141,"FLAGSHIP FACILITY SERVICES, INC.",1,0,1,1,0
142,FLAME'S FISH & CHICKEN,1,1,0,1,0
143,FLIK INTERNATIONAL CORPREED,1,0,1,0,1
144,FONS EMPANADAS,1,0,1,0,1
145,"FORBIS PIZZA, INC.",1,0,1,1,0
146,FOUR SHADOWS,1,0,1,0,1
147,FOXTROT MARKET,3,0,3,3,0
148,FRIISTYLE,2,0,2,2,0
149,FRONTERA GRILL/TOPOLOBAMBO/BAR SOTANO,1,0,1,1,0
150,G & O,2,0,2,2,0
151,GALLUCCI PIZZERIA NAPOLETANA,1,1,0,0,1
152,GARRETT POPCORN SHOPS,2,1,1,0,2
153,GATHER CHICAGO,1,0,1,1,0
154,GEORGE'S CHICKEN & SHRIMP,1,0,1,1,0
155,GHAREEB NAWAZ RESTAURANT,1,1,0,0,1
156,GHIN KHAO EAT RICE,1,0,1,1,0
157,GIBSONS ITALIA,1,1,0,0,1
158,GILHOOLEY'S,1,0,1,0,1
159,GIORDANO'S ON RUSH,1,0,1,1,0
160,GOLD LADLE THAI CUISINE,2,0,2,1,1
161,GORDITAS LA TIA SUSY,2,1,1,1,1
162,GORDON RAMSAY BURGER,2,1,1,0,2
163,"GOREE CUISINE, LLC",1,1,0,1,0
164,GREAT BUFFET,2,0,2,2,0
165,GREENTEA JAPANESE RESTAURANT,1,1,0,0,1
166,GUSTO'S KITCHEN,1,0,1,1,0
167,GYROS 47,1,0,1,0,1
168,GYU-KAKU RESTAURANT,2,1,1,1,1
169,HAISOUS,2,1,1,1,1
170,HALE FAMILY MCDONALD'S,1,0,1,0,1
171,HAMACHI,1,0,1,0,1
172,HAPPY LAMB HOT POT #5,1,0,1,0,1
173,HAPPY RICE,1,0,1,1,0
174,HAROLD'S CHICKEN SHACK #10,1,0,1,1,0
175,HARRY CARAY'S TAVERN NAVY PIER,1,0,1,0,1
176,HAVANA GRILL,1,1,0,0,1
177,HILLTOP FAMILY RESTAURANT,1,1,0,0,1
178,HOLIDAY CLUB,1,1,0,1,0
179,HOLIDAY INN CHICAGO DOWNTOWN-WOLF POINT & VOCO CHI,2,1,1,1,1
180,HOMESLYCE WHEEL HOUSE,1,1,0,0,1
181,HONEY BEAR RESTAURANT,2,0,2,1,1
182,HONEY BERRY PANCAKES & CAFE STATE STREET,1,0,1,1,0
183,HOT WOKS COOL SUSHI,1,0,1,0,1
184,HOUSE OF BLUES,1,1,0,0,1
185,HUBBARD INN,1,1,0,1,0
186,HUCK FINN,1,1,0,0,1
187,HUGO'S FROG BAR,1,0,1,0,1
188,HUMMUS GRILL INC,1,0,1,1,0
189,HUNAN GRILL,1,0,1,1,0
190,HYDE PARK HOSPITALITY LLC,1,1,0,0,1
191,Hampton Inn and Suites Chicago Medical District UI,2,1,1,1,1
192,I-57  RIBHOUSE,2,1,1,1,1
193,ILLINOIS INSTITUTE OF TECHNOLOGY,1,0,1,0,1
194,IMPERIAL RESTAURANT,2,1,1,2,0
195,INDIGO HOSPITALITY LLC,1,1,0,0,1
196,INDIO COCINA MEXICANA,1,0,1,0,1
197,INTERNATIONAL SANDWICH SHOP,2,0,2,0,2
198,INTERNATIONAL SANDWICH SHOP 2,1,0,1,1,0
199,J J & ATOMIC SUB,1,1,0,0,1
200,J J FISH,1,0,1,1,0
201,J J FISH AND CHICKEN,1,0,1,0,1
202,JAMAICA ISLAND JERK CHICKEN INCORPORATED,1,1,0,1,0
203,JERKJA876,3,0,3,3,0
204,JET'S PIZZA,1,1,0,0,1
205,JIMMY JOHN'S SANDWICH SHOP,1,0,1,0,1
206,JIMMY JOHNS,2,0,2,1,1
207,JIMMY'S BEST 1,1,0,1,0,1
208,JIMMY'S BEST FISH AND CHICKEN INC.,1,0,1,1,0
209,JIMMY'S FAMOUS BURGERS,1,0,1,1,0
210,JM SEAFOOD RESTAURANT,3,1,2,3,0
211,JOE'S GRILL,1,0,1,0,1
212,JOJIGYROS786 INC,1,0,1,0,1
213,JOY DISTRICT,1,0,1,1,0
214,JOYS SEAFOOD & STEAK MARKET INC,1,0,1,1,0
215,JUANITA'S MEXICAN FOOD,1,0,1,1,0
216,JUST SALADS ILLINOIS CENTER LLC,1,1,0,0,1
217,KARAVITES REST INC,1,0,1,0,1
218,KELLI'S CHICAGO,3,0,3,3,0
219,KELLY'S PUB,1,0,1,0,1
220,KFC,1,0,1,0,1
221,KINNAREE,1,0,1,1,0
222,KISS THE COOK BBQ,1,0,1,1,0
223,KIZIN CREOLE RESTAURANT,1,0,1,1,0
224,KONG DOG,1,0,1,1,0
225,KOVAL DISTILLERY,4,2,2,0,4
226,KRISPY KRUNCHY CHICKEN,1,0,1,0,1
227,KUMIKO,1,0,1,1,0
228,KYO MATCHA,1,0,1,1,0
229,Kanlaya 8,1,0,1,0,1
230,Kin Dee Thai,1,1,0,1,0
231,LA COCINA RESTAURANT & BAR,1,0,1,1,0
232,LA COSTENA ICE CREAM SHOP CORP.,1,0,1,0,1
233,LA HACIENDITA TAQUERIA INC,1,0,1,0,1
234,LA PASADITA,1,0,1,1,0
235,LA PETIT MARCEL,4,1,3,2,2
236,LA PULQUERIA / WINGS FIREHOUSE / PILSEN CAFE,1,0,1,1,0
237,LAA-MUSHKILA RESTAURANT,1,0,1,1,0
238,LAO SZE CHUAN,2,1,1,1,1
239,LAS FUENTES,2,1,1,1,1
240,LAS ISLAS MARIAS,1,0,1,1,0
241,LE MACARON FRENCH PASTRIES,1,0,1,1,0
242,LE'SELECT,1,0,1,1,0
243,LEANA GROCERY MART,2,1,1,1,1
244,LEGACY HOME COOKING LLC,1,0,1,1,0
245,LET'S CREPE,1,1,0,0,1
246,LEX CHINESE,2,1,1,1,1
247,LITTLE CAESARS PIZZA,1,0,1,1,0
248,LITTLE SMOQUE,1,0,1,1,0
249,LOTTIE'S PUB,1,1,0,0,1
250,LOU MALNATI'S PIZZERIA,1,1,0,1,0
251,LUGANOS PIZZA,1,0,1,1,0
252,LUKE'S BEEF & PIZZA,1,0,1,1,0
253,La  DOLCE VITA CUCINA,2,0,2,1,1
254,Los Tres Hermanos Guerrenses,2,0,2,2,0
255,MAISON PARISIENNE,1,0,1,1,0
256,MAKO,2,1,1,1,1
257,MAMA DELIA & BORDEL,2,0,2,1,1
258,MANNYS COFFEE HOUSE,2,1,1,1,1
259,MARIO'S TABLE,1,0,1,0,1
260,MARISCOS EL ABUELO Y YO SEAFOOD,1,0,1,0,1
261,MARISCOS EL BARBAS,2,0,2,0,2
262,"MARISCOS EL KORA, INC.",1,1,0,0,1
263,MARISCOS LA COSTA,2,1,1,1,1
264,MARY'S SWEETS LLC,2,1,1,1,1
265,MASALA MAGIC,1,0,1,0,1
266,MASTRO'S STEAKHOUSE,2,0,2,1,1
267,MAXWELL STREET CICERO,1,0,1,1,0
268,MC DONALD'S RESTAURANT,1,0,1,1,0
269,MC MEXICAN GRILL LLC,1,0,1,0,1
270,MCCORMICK PLACE - WEST BUILDING  - SAVOR,1,0,1,1,0
271,MCCORMICK PLACE- LAKESIDE CENTER- SAVOR,1,0,1,1,0
272,MCCORMICK PLACE-WEST BUILDING-SAVOR,2,1,1,2,0
273,MCDONALD'S,3,1,2,1,2
274,"MERCHANDISE MART PROPERTIES, INC.",1,0,1,1,0
275,MERCHANT MARKET,1,0,1,1,0
276,MEXICOLOMBIA,2,1,1,1,1
277,MIKI'S PARK,2,2,0,1,1
278,MILAN'S RESTAURANT & BAR,1,1,0,1,0
279,MILL,1,0,1,1,0
280,MILLENNIUM HALL CASA BONITA,1,1,0,0,1
281,MING KEE CHICAGO LLC,1,0,1,1,0
282,MONDAY COFFEE,1,0,1,1,0
283,MONK'S PUB,1,0,1,0,1
284,MOODY'S RESTAURANT INC,1,1,0,0,1
285,MOON FLOWER HOUSE,1,0,1,1,0
286,MOONBOWLS,1,0,1,1,0
287,MORGAN MANUFACTURING,1,0,1,1,0
288,MORSE GYROS,2,0,2,1,1
289,MOSIACS BOUTIQUE & TEA,1,0,1,0,1
290,MOTHERLAND CAFE,1,0,1,1,0
291,MOTI CAFE,1,1,0,0,1
292,MRS. GU SKEWER HOT POT,1,0,1,1,0
293,MULLEN'S BAR & GRILL,1,0,1,0,1
294,Milan&Mira LLC,1,0,1,1,0
295,NANDO'S PERI PERI,1,1,0,0,1
296,NAPLES PIZZA 3,2,1,1,1,1
297,NAYO'S AFRICAN CUISINES,1,0,1,1,0
298,NECESSARY & SUFFICIENT COFFEE,2,0,2,1,1
299,NELLA PIZZA PASTA,1,1,0,0,1
300,NELLIES,1,1,0,0,1
301,NEVERIA LA POBLANITA INC.,1,0,1,0,1
302,NEW LINE,1,0,1,0,1
303,NEW STONY SUMBARINE INC.,1,0,1,1,0
304,NO. 18  KARAOKE,1,1,0,0,1
305,"NONNA SOLURI'S ITALIAN DELI, INC.",1,0,1,0,1
306,NONNINA,3,1,2,2,1
307,NOODLES IN THE POT,1,0,1,1,0
308,NORTH BUENA DELI & WINE,2,1,1,1,1
309,NORTH POND CAFE,1,0,1,1,0
310,Nori Chicago,2,0,2,1,1
311,OKI SUSHI AND THAI,1,0,1,1,0
312,OLIANG CAFE CHICAGO,1,1,0,1,0
313,OLIO E PIU,2,0,2,1,1
314,OLIVE MOUNTAIN GRILL LLC,1,0,1,0,1
315,OOOH WEE IT IS FRANCHISE CORPORATION 79TH STREET,1,0,1,1,0
316,ORANGE GARDEN RESTAURANT LLC,1,0,1,1,0
317,OVY'S KITCHEN,1,0,1,1,0
318,PACIFIC LANGHAM CHICAGO CORPORATION,1,0,1,0,1
319,PALETERIA COCKTAILS TROPICALES,1,0,1,1,0
320,PALETERIA EL SABOR DE MICHOACAN INC.,1,1,0,0,1
321,PAPA JOHN'S PIZZA,1,0,1,1,0
322,PARKWAY HOAGYES,1,0,1,0,1
323,PASTEUR OF CHICAGO,1,0,1,1,0
324,PEET'S COFFEE & TEA,1,0,1,0,1
325,PEQUOD'S PIZZA,1,0,1,0,1
326,PERA'S HOUSE COFFEE & DESSERT,1,0,1,1,0
327,PHILZ COFFEE,1,1,0,0,1
328,PICANTE TAQUERIA,1,0,1,1,0
329,PISTORES PIZZA & PASTRY,1,0,1,1,0
330,PIZANO'S,1,1,0,0,1
331,PIZZA CAPRI,1,0,1,0,1
332,PLAYA BOWLS BUCKTOWN,2,0,2,1,1
333,PLAYAS NAYARITAS 2,1,0,1,1,0
334,PLAZA KOSHER,1,0,1,1,0
335,POINT & FEATHER CHICAGO,2,0,2,2,0
336,POPEYE'S #846,1,1,0,1,0
337,POPEYE'S #865,1,0,1,1,0
338,POPEYES,4,3,1,3,1
339,POPEYES CHICKEN/INDIAN SWAAD,1,1,0,0,1
340,POPS FOR CHAMPAGNE,2,0,2,1,1
341,POPUS G POPCORN,1,0,1,0,1
342,POTBELLY SANDWICH WORKS,1,1,0,0,1
