,dba_name,Inspection Count,Upgraded,Downgraded,Fail,Pass
125,24HR MINI MART & CELLAR FOR YOU,2,0,2,2,0
126,25 DEGREES,14,4,10,8,6
127,260 SPORTS BAR,6,4,2,3,3
128,"26TH CONVENIENT STORE, INC",2,1,1,1,1
129,26TH STREET SUGAR SHACK,8,4,4,5,3
130,"2715 WEST MADISON, LLC",3,1,2,2,1
131,290 EXPRESS INC,2,1,1,1,1
132,290 FOOD MART,2,0,2,2,0
133,2934 W DIVERSEY LLC,9,1,8,9,0
134,2960 BEVERAGE CORPORATION,7,2,5,4,3
135,2AM IZAKAYA,6,3,3,3,3
136,2D RESTAURANT,4,1,3,2,2
137,2H CAFE BAR,3,3,0,1,2
138,3 ABEJAS,13,5,8,7,6
139,"3 BROTHERS FOOD MART, INC.",2,0,2,1,1
140,3 GREENS MARKET,7,2,5,4,3
141,3 JJJ'S BETTER TASTE JAMAICAN JERK RESTAURANT,21,8,13,13,8
142,3 KING'S JERK & GOURMET EGG ROLLS LLC,6,0,6,4,2
143,3 KINGS JERK & SOUL LLC,2,2,0,0,2
144,"3 M RESTAURANT, INC.",6,1,5,4,2
145,3 R'S ORIENTAL FOOD MART,3,0,3,3,0
146,3 SAUCES,3,2,1,1,2
147,3 SMOKIN' SISTERS,2,0,2,1,1
148,3 SQUARES,7,3,4,5,2
149,300 CONCESSION SHOP INC.,2,0,2,1,1
150,300 CONVENIENCE,5,4,1,2,3
151,"31 FOOD & DOLLAR, INC.",2,1,1,1,1
152,312 BEER GARDEN,3,0,3,3,0
153,312 CHICAGO,17,8,9,7,10
154,312 CHICAGO STYLE FOOD,3,0,3,2,1
155,312 Chicago,7,3,4,3,4
156,312 FISH MARKET,3,0,3,2,1
157,31ST FOOD MART,2,1,1,1,1
158,33 CLUB,3,0,3,1,2
159,333 S WABASH,2,0,2,2,0
160,3400 FOOD & LIQUOR,3,2,1,1,2
161,3517 N. SPAULDING AVE. CHI LLC,6,1,5,3,3
162,"35TH & ASHLAND OIL, INC.",2,2,0,1,1
163,35TH STREET INC.,5,0,5,5,0
164,35TH STREET REDHOTS,10,6,4,4,6
165,360 CHICAGO,10,2,8,6,4
166,3600 COMMISSARY,6,5,1,2,4
167,3639 LLC,6,1,5,4,2
168,365 FOODMART CORPORATION,2,1,1,1,1
169,365 SUPERMARKET INC,2,1,1,1,1
170,3658 FIT DANCE,6,3,3,5,1
171,"3756-58 W. NORTH, INC.",2,2,0,1,1
